LLM,Program,File,Confidence,Reasoning
ChatGPT,2048.c,2048_O0.json,72,"The provided disassembly is a large, truncated binary containing many functions, so a complete program-wide CFG cannot be reconstructed with confidence. | A fully visible self-contained function is present at 0x14b2-0x14e8 and consists of initialization, a loop that repeatedly divides a value by 10, and a return block. | The CFG contains one conditional loop back-edge and one exit path when the loop termination condition is met."
ChatGPT,2048.c,2048_O1.json,72,"The provided disassembly contains multiple functions and the representation is truncated, so only a local CFG can be reconstructed with reasonable confidence. | A clearly identifiable function starts at 0x14b2 and contains a loop formed by the conditional jump at 0x14e1 back to 0x14c1. | The function initializes a counter, repeatedly divides a value by 10 until it becomes zero, then returns the counter value."
ChatGPT,2048.c,2048_O2.json,42,"The provided disassembly is truncated and contains multiple functions; a complete program-wide CFG cannot be reconstructed reliably. | A clearly identifiable function contains a loop that repeatedly divides a value by 10, increments a counter, tests for zero, and either repeats or returns. | The reconstructed CFG models the observable entry, loop body, loop-condition branch, and exit structure from that function."
ChatGPT,2048.c,2048_O3.json,72,"Identified a function beginning at 0x14e9 with stack setup and multiple nested counted loops controlled by comparisons at 0x15d8, 0x1731, 0x17d7, and 0x17f5. | Several conditional branches create loop back-edges and alternate paths (e.g., 0x1669->0x16fb/0x1671), while most other calls are external and return to the caller. | The reconstructed CFG focuses on the major basic blocks, loop headers, branch bodies, merge points, and the function exit; exact call internals are not modeled."
ChatGPT,fe,fe_O0.json,72,"The available disassembly is a large partial binary with many functions and truncation, so only a localized CFG can be reconstructed confidently. | The function beginning at 0x1500 contains several conditional branches and a loop formed by the back-edge from 0x159c to 0x1510. | Control flow includes an early-exit path when a flag bit is already set, recursive processing for one case, a callback invocation case, and a common function exit."
ChatGPT,fe,fe_O1.json,82,"The provided disassembly is very large and truncated, so only a well-bounded function was reconstructed with high confidence. | A recursive traversal function is visible at 0x1430 with an initial branch, a loop over linked nodes, a recursive-call path, and multiple exits. | Control flow was derived from conditional jumps (jne, jb, je), the recursive call back into the same function, the loop back-edge, and the final return/tail-call paths."
ChatGPT,fe,fe_O2.json,72,"The available representation is a large, truncated disassembly, so only a small portion can be reconstructed with high confidence. | The .init routine contains a single conditional branch based on a null check of a function pointer. | Control flow either skips the indirect call or executes it, then both paths merge and return."
ChatGPT,fe,fe_O3.json,72,"Reconstructed a single complete function region beginning at 0x1250 because the full program disassembly is very large and truncated. | Identified one initial conditional branch (test/je), a merge point before error-reporting logic, and a loop controlled by cmp/jne at 0x1306-0x1309. | Function terminates via exit() after the loop, so the final block is treated as an exit node with no outgoing edges."
ChatGPT,kilo,kilo_O0.json,72,"Reconstructed the largest fully visible function with clear control-flow (0x2747-0x293d) rather than the entire truncated program. | Identified a read loop, multiple conditional branches for escape-sequence decoding, several return-value exits, and a back-edge that re-enters the main character-processing loop. | Merged straightforward return-producing blocks while preserving major branch targets, loop structure, and error/termination paths."
ChatGPT,kilo,kilo_O1.json,72,"The available disassembly is truncated, so only a self-contained function can be reconstructed with reasonable confidence. | A loop repeatedly reads bytes until a non-zero read result is obtained, with an error path calling exit(). | The function parses escape-sequence branches (ESC, CSI '[', SS3 'O'), contains several decision trees for special keys, and merges into a common return block."
ChatGPT,kilo,kilo_O2.json,52,"The provided program representation is truncated, so only a portion of the CFG can be reconstructed with confidence. | A large function beginning at 0x2747 contains a read loop, escape-sequence parsing logic, multiple conditional branches, and several return-value dispatch paths. | The reconstructed CFG focuses on the visible control-flow structure including the input loop, escape-sequence decoder, retry path, and function exit."
ChatGPT,kilo,kilo_O3.json,72,"The visible function beginning at 0x2747 contains a read loop, multiple conditional branches for escape-sequence parsing, several early-return paths, and a final stack-canary check before return. | A loop is formed by repeatedly reading bytes until a nonzero read result is obtained and by falling back to the main character-processing state when an unrecognized escape sequence is encountered. | The CFG reconstruction is limited to the fully visible function region; indirect library calls are treated as intra-block operations and not expanded."
ChatGPT,lsh,lsh_O0.json,82,"The program contains several helper functions, but the primary executable flow is centered on the main loop that prints a prompt, reads input, tokenizes it, dispatches built-ins or external commands, frees memory, and repeats. | Multiple conditional branches are present: command dispatch performs a loop over built-in commands with a match/no-match split, execution uses fork/exec with child/parent/error branches, and input parsing contains allocation-growth loops. | The CFG below is a best-effort reconstruction of the dominant runtime control flow, including loop back-edges, command-dispatch decisions, built-in handling, external execution, cleanup, and program exit."
ChatGPT,lsh,lsh_O1.json,72,"The disassembly contains multiple functions; the largest executable control-flow structure is the command-processing loop starting near 0x15a0. | A loop repeatedly prints a prompt, reads input, tokenizes it, checks built-in commands, dispatches either a built-in handler or an external execution path, then frees memory and repeats. | Branches arise from empty input checks, built-in command matching, the built-in dispatch table, and the final continuation test that either loops back or exits."
