LLM,Program,File,Confidence,Reasoning
DeepSeek,2048.c,2048_O0.json,85,"Identified multiple functions: main, sub_1200, sub_1360, sub_1390, sub_1630, sub_16d0, sub_17e0, sub_1970, sub_19e0, sub_1a40, sub_1aa0, sub_1b00, sub_1b90, sub_1c00, sub_1c90, sub_1da0, sub_1e10, sub_1ea0, sub_21a0, and sub_21e0 (likely main based on entry point and argument handling). | Constructed CFG for each function independently, grouping instructions into basic blocks based on control-flow instructions (jumps, branches, calls, returns). | For main (sub_21e0), identified all basic blocks and edges including conditional branches, switch table, and function calls. Omitted edges for indirect jump targets that could not be resolved. | For helper functions, reconstructed basic blocks and intraprocedural edges based on conditional and unconditional jumps, and returns. | Omitted edges where branch target could not be determined with confidence, e.g., indirect jumps or unresolved jump table entries. | Did not create interprocedural edges such as call or return edges between functions. | Confidence is set to 85 due to indirect control-flow uncertainty but high confidence in most direct branches and sequential flow."
DeepSeek,2048.c,2048_O1.json,75,"The disassembly contains multiple functions, including the main entry point at 0x29c0, which is identified as `main` due to the calling convention and initialization patterns. | Several helper functions are present (sub_1200, sub_12e0, sub_16f0, sub_1730, sub_17d0, sub_1870, sub_1940, sub_1c30, sub_1f20, sub_2200, sub_2250, sub_2290, sub_2590, sub_2680, sub_26a0, sub_2740, sub_2990) and are reconstructed with their own CFGs. | Control flow edges are identified based on explicit jumps, conditional branches (jcc), returns, and fall-throughs. Indirect jumps (e.g., call rax, jmp rax) are omitted when the target is not statically determinable. | Basic blocks are split at every control-flow instruction (jmp, jcc, ret, call, etc.) and at branch targets (labels referenced by jumps or calls). | Interprocedural edges (e.g., call edges, return edges) are excluded; only intraprocedural jumps and conditional branches are represented. | Some functions (e.g., sub_1940, sub_1c30, sub_1f20) contain multiple conditional branches and loops that are fully traced based on the disassembly. | The `main` function includes several string comparisons and command-line argument handling, leading to multiple branches and terminal outputs. | The confidence score is set to 75 because while most control flow is recoverable, some indirect jumps (e.g., the jump table at 0x2bda) and signal handling edges are not fully resolved. | No interprocedural edges are introduced; library calls (printf, puts, etc.) are treated as terminal basic block instructions without internal CFG expansion. | All identified functions are included; the CFG is not empty and represents the best reconstruction based on the provided disassembly."
DeepSeek,2048.c,2048_O2.json,80,"The disassembly contains multiple functions including main, init, plt stubs, and various helper functions. | The primary function is main (0x2bf0), with identifiable functions: sub_12e0, sub_2580, sub_2820, sub_28c0, sub_2bc0, and others. | Control flow within each function is reconstructed based on conditional jumps, unconditional jumps, calls, and returns. | Interprocedural edges (calls and returns) are excluded from the CFG. | Indirect jumps and dynamic calls (e.g., call rax) are omitted when destination cannot be determined. | The CFG includes only intraprocedural edges within each identified function."
DeepSeek,2048.c,2048_O3.json,85,"Identified functions: main (0x2dc0), sub_1200 (0x1200), sub_12b0 (0x12b0), sub_12e0 (0x12e0), sub_1f90 (0x1f90), sub_1fe0 (0x1fe0), sub_2130 (0x2130), sub_2180 (0x2180), sub_21e0 (0x21e0), sub_22e0 (0x22e0), sub_23c0 (0x23c0), sub_24c0 (0x24c0), sub_2520 (0x2520), sub_2570 (0x2570), sub_27f0 (0x27f0), sub_2a70 (0x2a70), sub_2a90 (0x2a90), sub_2b30 (0x2b30), sub_2d90 (0x2d90). | main function at 0x2dc0 includes argument parsing, signal setup, terminal handling, and a game loop with multiple branches based on input characters. | Constructed CFG for main with basic blocks: B0 (entry, parse args), B1 (invalid arg print), B2 (handle -h), B3 (handle -v), B4 (handle -d), B5 (handle -t), B6 (handle -s), B7 (setup signal and terminal), B8 (game loop entry), B9..B14 (character handling branches), B15..B18 (various call branches), B19 (quit handler), B20 (reset terminal and exit), B21 (return). | For sub_1200, identified basic blocks B0..B4 for the data processing and lookup logic. | For sub_12e0, identified loops and conditional branches based on the printed output and character mapping. | For sub_27f0, identified initialization and random generation with multiple conditional blocks for array population. | For sub_2a90, identified terminal attribute manipulation with conditional restore logic. | For sub_2b30, identified comparison loop with printf branches. | For sub_2d90, identified signal handler with terminal restore and exit. | Omitted edges for indirect jumps (e.g., jump table at 0x2f2e) because destination cannot be determined with confidence; only the direct branches and fall-through edges are included. | Omitted edges for calls to library functions (printf, puts, getc, etc.) as per rules. | No interprocedural edges added between different functions."
DeepSeek,fe,fe_O0.json,85,"The disassembly contains multiple functions: .init, .plt stubs, .text functions (including startup code, utility functions, and main logic). | Function boundaries are inferred from call targets, jump targets, and ret instructions. | Control flow edges are constructed based on conditional jumps (je, jne, jmp), unconditional jumps, and returns. | Indirect calls and jumps (e.g., call rax, jmp rax) are noted but their exact targets cannot be determined statically; only intraprocedural edges that are resolvable are included. | Library functions (e.g., printf, strcmp) are treated as calls but no interprocedural edges are created. | The main function (starting at 0x3c60) and helper functions such as sub_1220, sub_1350, sub_1500, etc., are identified and their CFGs partially reconstructed. | Edges that are ambiguous or indirect (e.g., jump tables) are omitted when the destination cannot be determined with confidence."
DeepSeek,fe,fe_O1.json,85,"The disassembly contains multiple functions, including init, plt stubs, and the main application code. | Functions are identified based on entry points, call sites, and function prologues/epilogues. | The primary function starts at 0x3860 and is identified as `main` based on the standard `__libc_start_main` call pattern. | Several helper functions are present: sub_1250, sub_2170, sub_2840, sub_35c0, sub_3780, etc. | Basic blocks are split at conditional branches, unconditional jumps, returns, and indirect jumps. | Edges are created for conditional branches (e.g., je, jne) and unconditional jumps (e.g., jmp, ret). | Indirect jumps (e.g., call rax, jmp rax) are included where the target cannot be determined, but the fall-through path is still modeled. | Interprocedural call edges (e.g., call 0x10c0) are NOT included, as per the rules. | The confidence is high for most control flow, but some indirect jumps and dynamic dispatches reduce confidence slightly. | The reconstruction focuses on intraprocedural edges only, respecting the given constraints."
DeepSeek,fe,fe_O2.json,70,"The disassembly contains multiple functions, including initialization routines, PLT stubs, and main program logic. | I have identified several distinct functions based on entry points and control flow patterns, including sub_1120, sub_1240, sub_1250, sub_1320, sub_1360, sub_13b0, sub_13d0, sub_13e0, sub_1410, sub_1420, sub_1430, sub_14b0, sub_1540, sub_15c0, sub_15e0, sub_1670, sub_1750, sub_1820, sub_1a50, sub_1ad0, sub_1b50, sub_1c20, sub_1c90, sub_1cf0, sub_1d60, sub_21a0, sub_21c0, sub_21d0, sub_21f0, sub_2250, sub_22b0, sub_22c0, sub_22f0, sub_29a0, sub_29d0, sub_29f0, sub_2a00, sub_3730, sub_38c0, sub_38e0, sub_39c0, sub_3b30, sub_3c00, sub_3d10, sub_3db0. | I have reconstructed intraprocedural CFGs for each function based on the disassembly. | Some indirect jumps and calls (e.g., call rax, jmp rax) have uncertain destinations, so I omitted those edges but kept the blocks containing them. | Edges are only drawn between blocks within the same function; no interprocedural edges (calls, returns) are included. | For functions with many basic blocks and complex control flow, I captured the main structure but may have omitted some less certain edges due to indirect control flow or incomplete information. | The confidence score reflects that many edges are recoverable, but some indirect jumps and calls remain uncertain."
DeepSeek,fe,fe_O3.json,40,"The disassembly contains multiple functions, but many are from libc and are not part of the program's logic. | Function boundaries are not explicitly marked, making precise identification difficult. | Some functions are likely stubs or wrapper functions with minimal control flow. | The main function appears to start at address 0x35a0, but its exact boundaries are unclear. | Basic blocks were reconstructed based on control flow instructions (jmp, call, ret, etc.) and branch targets. | Several functions have complex control flow with multiple branches and loops, but not all edges could be reliably determined. | Some branches use indirect jumps or computed addresses, making their destinations uncertain. | Only intraprocedural edges are included; call edges are omitted. | The confidence score reflects the uncertainty in function boundaries and some control flow edges."
DeepSeek,kilo,kilo_O0.json,75,"The disassembly contains multiple functions: the initialization routine (.init), the PLT stubs, the .text section containing several functions including main-like entry points and helper functions. | I identified the following functions with recoverable intraprocedural control flow: sub_2270 (startup), sub_22a0, sub_22d0, sub_2310, sub_2350, sub_2360, sub_23a0, sub_23b0, sub_2490, sub_2670, sub_2760, sub_2880, sub_28e0, sub_2980, sub_2fa0, sub_3010, sub_30f0, sub_32b0, sub_34a0, sub_34e0, sub_35c0, sub_36e0, sub_3830, sub_38d0, sub_3950, sub_3a50, sub_3bc0, sub_3d70, sub_3ed0, sub_3fb0, sub_4060, sub_40e0, sub_4100, sub_4880, sub_4db0, sub_50b0, sub_52a0, sub_52f0, sub_5350, sub_53d0, sub_5450 (atexit wrapper), and the fini routine. | I reconstructed basic blocks based on control-flow instructions (jmp, call, ret, je, jne, jg, jl, jge, jle, ja, jbe, jmp, hlt). Basic blocks terminate at these instructions or at unreachable instructions. | For each function, I traced direct intraprocedural jumps and conditional branches. Indirect jumps (e.g., call rax, jmp rax) were omitted because the target cannot be determined reliably. | Some conditional branches have targets within the same function, and I included those edges. Where the target was unknown or to a different function (e.g., PLT stubs), I omitted that edge. | I did not include edges for function calls (e.g., call <plt>) or returns from calls, as per the instructions. | Confidence is moderate (75) because some indirect control-flow (e.g., jump tables, indirect calls) could not be fully resolved, and some functions have complex switch-like constructs where not all targets are clearly identifiable. | I included all functions that have at least one basic block with an intraprocedural edge or that are reachable via such edges. | I omitted functions that are solely PLT stubs or that have no internal control-flow (e.g., sub_5450 is just a tail call). | I did not create edges between different functions, and I ensured each basic block belongs to exactly one function."
DeepSeek,kilo,kilo_O1.json,60,"The disassembly contains multiple functions including .init, .plt, .text, .fini and many subroutines. | Functions identified from code patterns and calls include main-like routines (4d10, 4c80, 4bc0, 4c00, 4bb0), input handling (2490, 2630, 26f0), terminal setup (23c0, 2390, 2360), string processing (2970, 2ea0, 3290, 3350, 33c0), formatting (39d0, 3af0, 4400), and various helpers. | Basic blocks are split at control flow instructions: conditional jumps (je, jne, jg, jge, jl, jle, ja, jbe), unconditional jumps (jmp), calls (call), and returns (ret). | Indirect jumps (jmp rax) and switch tables (e.g., at 2e0f, 3c5e, 4835, 49fa) prevent precise edge resolution for some cases, but the main sequential flow and likely targets are included. | Interprocedural edges (calls to plt stubs and library functions) are omitted per the instructions, but intraprocedural jumps within each function are preserved. | Some functions contain unreachable code (e.g., after hlt at 2295) but are still represented as basic blocks. | Confidence is moderate (60) because many indirect branches and switch destinations could not be fully resolved, but the primary control flow of each identified function is recoverable."
